靡ㄩ絏,るら,Μ絃基(じ),Θユ秖(),Θユ(じ),秅锣瞯,瑈硄计(),カ(κ窾じ),TSE 玻穨,カ
2330 縩筿,2026/8/31,"2,405","32,792","78,563,954",0.1265,"25,932,370","62,367,350",24,TSE
2454 羛祇,2026/8/31,"3,925","7,222","28,095,701",0.45,"1,604,953","6,299,439",24,TSE
3034 羛碟,2026/8/31,540,"5,484","2,958,724",0.9012,"608,511","328,596",24,TSE
2308 笷筿,2026/8/31,"1,840","8,899","16,145,593",0.3426,"2,597,543","4,779,480",28,TSE
3711 らるщ北,2026/8/31,584,"33,186","19,248,354",0.7398,"4,485,648","2,619,618",24,TSE
2345 醇ü,2026/8/31,"2,035","4,484","9,023,851",0.7991,"561,118","1,141,875",27,TSE
6669 絥縪,2026/8/31,"2,378.63","1,921","13,768,012",1.0248,"187,453","1,329,982",25,TSE
2059 打,2026/8/31,"14,180",982,"13,872,719",1.0305,"95,297","1,351,312",28,TSE
3008 ミ,2026/8/31,"7,650","3,700","27,699,256",2.8288,"130,798","1,000,606",26,TSE
2379 风琑,2026/8/31,696.274,"3,002","2,158,787",0.5823,"515,513","371,685",24,TSE
2330 縩筿,2026/8/28,"2,420","15,025","36,465,015",0.0579,"25,932,370","62,756,336",24,TSE
2454 羛祇,2026/8/28,"3,985","5,064","20,027,639",0.3155,"1,604,953","6,395,736",24,TSE
3034 羛碟,2026/8/28,545,"2,848","1,550,813",0.468,"608,511","331,639",24,TSE
2308 笷筿,2026/8/28,"1,830","13,398","24,470,322",0.5158,"2,597,543","4,753,504",28,TSE
3711 らるщ北,2026/8/28,621,"18,575","11,454,138",0.4146,"4,480,369","2,782,309",24,TSE
2345 醇ü,2026/8/28,"2,125","2,374","5,081,260",0.4231,"561,118","1,192,376",27,TSE
